Date,Price,Open,High,Low,Change %
Nov-21,"10,795.00","10,674.21","10,795.00","10,674.00",1.13%
Oct-21,"10,674.21","10,692.00","10,712.05","10,656.60",-0.17%
Sep-21,"10,692.00","10,670.00","10,710.00","10,630.00",0.21%
Aug-21,"10,670.00","10,642.43","10,683.00","10,600.00",0.26%
Jul-21,"10,642.43","10,591.00","10,680.00","10,580.00",0.49%
Jun-21,"10,591.00","10,568.21","10,616.02","10,520.15",0.22%
May-21,"10,568.21","10,523.00","10,609.91","10,492.55",0.43%
Apr-21,"10,523.00","10,485.66","10,552.01","10,464.90",0.36%
Mar-21,"10,485.66","10,525.50","10,541.70","10,447.86",-0.38%
Feb-21,"10,525.50","10,518.98","10,554.34","10,460.00",0.06%
Jan-21,"10,518.98","10,476.90","10,528.77","10,441.60",0.40%
Dec-20,"10,476.90","10,427.38","10,486.00","10,361.00",0.47%
Nov-20,"10,427.38","10,359.88","10,427.38","10,342.80",0.65%
Oct-20,"10,359.88","10,321.21","10,375.00","10,263.50",0.37%
Sep-20,"10,321.21","10,262.87","10,321.21","10,241.55",0.57%
Aug-20,"10,262.87","10,207.69","10,281.00","10,186.05",0.54%
Jul-20,"10,207.69","10,173.35","10,225.00","10,164.65",0.34%
Jun-20,"10,173.35","10,139.25","10,189.00","10,120.00",0.34%
May-20,"10,139.25","10,129.00","10,156.00","10,100.00",0.10%
Apr-20,"10,129.00","9,554.20","10,149.00","9,520.67",6.02%
Mar-20,"9,554.20","9,526.25","9,574.00","9,485.00",0.41%
Feb-20,"9,515.00","9,563.30","9,563.30","9,487.34",-0.51%
Jan-20,"9,563.30","9,507.56","9,600.00","9,488.76",0.59%
Dec-19,"9,507.56","9,494.68","9,537.55","9,468.18",0.14%
Nov-19,"9,494.68","9,462.00","9,525.00","9,442.38",0.35%
Oct-19,"9,462.00","9,446.60","9,463.37","9,402.49",0.16%
Sep-19,"9,446.60","9,373.95","9,455.00","9,331.00",0.78%
Aug-19,"9,373.95","8,666.70","9,414.50","8,630.43",8.16%
Jul-19,"8,666.70","8,562.33","8,670.50","8,514.85",1.22%
Jun-19,"8,562.33","8,485.91","8,565.00","8,449.20",0.83%
May-19,"8,491.68","8,442.99","8,500.00","8,438.75",0.55%
Apr-19,"8,445.48","8,389.97","8,475.00","8,383.81",0.66%
Mar-19,"8,389.97","8,403.15","8,417.00","8,355.54",-0.16%
Feb-19,"8,403.15","8,384.94","8,509.64","8,368.99",0.22%
Jan-19,"8,384.94","8,350.00","8,487.18","8,318.54",0.42%
Dec-18,"8,350.00","8,338.70","8,495.00","8,275.35",0.68%
Nov-18,"8,294.00","8,240.00","8,337.95","8,206.90",0.66%
Oct-18,"8,240.00","8,061.65","8,265.90","8,056.40",1.92%
Sep-18,"8,085.00","7,830.70","8,340.00","7,799.95",3.25%
Aug-18,"7,830.70","7,800.00","7,848.80","7,734.85",0.39%
Jul-18,"7,800.00","7,895.00","7,895.00",77.57,-1.20%
Jun-18,"7,895.00","7,990.00","8,068.10","7,838.50",-1.19%
May-18,"7,990.00","8,073.00","8,138.65","7,957.50",-1.03%
Apr-18,"8,073.00","8,132.90","8,158.15","8,045.05",-0.76%
Mar-18,"8,135.00","8,190.00","8,213.55","8,077.50",-0.67%
Feb-18,"8,190.00","8,190.00","8,248.95","8,115.60",0.00%
Jan-18,"8,190.00","8,108.25","8,190.00","8,060.60",1.01%
Dec-17,"8,108.25","8,057.75","8,140.00","8,023.45",0.63%
Nov-17,"8,057.75","8,071.55","8,122.95",850,-0.17%
Oct-17,"8,071.55","8,117.90","8,191.10",80,-0.06%
Sep-17,"8,076.00","4,161.10","8,200.00","4,161.10",94.08%
